"SOP Class UID", "00080016", "L", "L"
"SOP Instance UID", "00080018", "UNIQUE", "UNIQUE"
"Content Date", "00080023", "S,*,U,R", "S,*,U,R"
"Content Time", "00080033", "S,*,U,R", "S,*,U,R"
"Instance Number", "00200013", "S,*,U", "S,*,U"
"Concept Name Code Sequence", "0040A043", "SEQUENCE", "SEQUENCE"
">Code Value", "00080100", "S,*,U", "S,*,U"
">Coding Scheme Designator", "00080102", "S,*,U", "S,*,U"
">Coding Scheme Version", "00080103", "S,*,U", "S,*,U"
"Verifying Observer Sequence", "0040A073", "SEQUENCE", "SEQUENCE"
">Verifying Observer Name", "0040A075", "S,*,U", "S,*,U"
">Verification Date Time", "0040A030", "S,*,U, R", "S,*,U, R"
"Completion Flag", "0040A491", "S,*,U", "S,*,U"
"Verification Flag", "0040A493", "S,*,U", "S,*,U"
"Content Sequence", "0040A730", "SEQUENCE", "SEQUENCE"
">Value Type", "0040A040", "S", "S"
">Concept Name Code Sequence", "0040A043", "SEQUENCE", "SEQUENCE"
">>Code Value", "00080100", "S,*,U", "S,*,U"
">>Coding Scheme Designator", "00080102", "S,*,U", "S,*,U"
">>Coding Scheme Version", "00080103", "S,*,U", "S,*,U"
">Relationship Type", "0040A010", "S,*,U", "S,*,U"
">Concept Code Sequence", "0040A168", "SEQUENCE", "SEQUENCE"
">>Code Value", "00080100", "S,*,U", "S,*,U"
">>Coding Scheme Designator", "00080102", "S,*,U", "S,*,U"
">>Coding Scheme Version", "00080103", "S,*,U", "S,*,U"
">Text Value", "0040A160", "S,*,U", "S,*,U"
"Image Type", "00080008", "", "NONE"
"Observation Date Time", "0040A032", "", "NONE"
"Referenced Series Sequence", "00081115", "", "NONE"
"Number of Frames", "00280008", "", "NONE"
"Rows", "00280010", "", "NONE"
"Columns", "00280011", "", "NONE"
"Bits Allocated", "00280100", "", "NONE"
"Referenced Request Sequence", "0040A370", "", "NONE"
"Current Requested Procedure Evidence Sequence", "0040A375", "", "NONE"
"Content Template Sequence", "0040A504", "", "NONE"
"Identical Documents Sequence", "0040A525", "", "NONE"
"Document Title", "00420010", "", "NONE"
"MIME Type of Encapsulated Document", "00420012", "", "NONE"
"Content Label", "00700080", "", "NONE"
"Content Description", "00700081", "", "NONE"
"Presentation Creation Date", "00700082", "", "NONE"
"Presentation Creation Time", "00700083", "", "NONE"
"Content Creator's Name", "00700084", "", "NONE"
"Specific Character Set", "00080005", "", "NONE"
"Retrieve URL", "00081190", "", "NONE"
"Retrieve AE Title", "00080054", "", "NONE"
"Instance Availability", "00080056", "", "NONE"