"Series Instance UID", "0002000E", "UNIQUE", "UNIQUE"
"Series Number", "00200011", "S,*,U", "S,*,U"
"Modality", "00080060", "S,*,U", "S,*,U"
"Body Part Examined", "00180015", "S,*,U", "S,*,U"
"Performed Procedure Step Start Date", "00400244, "S,*,U,R", "S,*,U,R"
"Performed Procedure Step Start Time", "00400245", "S,*,U,R", "S,*,U,R"
"Performing Physician Name", "00081050, "S,*,U", "S,*,U"
"Station Name", "00081010", "S,*,U", "S,*,U"
"Series Description", "0008103E", "S,*,U", "S,*,U"
"Institutional Department Name", "00081040", "S,*,U", "S,*,U"
"Institution Name", "00080080", "S,*,U", "S,*,U"
"Request Attributes Sequence", "00400275", "SEQUENCE", "SEQUENCE"
">Accession Number", "00080050", "S,*,U", "S,*,U"
">Issuer of Accession Number", "00080051", "", ""
">Requesting Service", "00321033", "S,*,U", "S,*,U"
">Requesting Physician", "00321032", "S,*,U", "S,*,U"
">Requested Procedure ID", "00401001", "S,*,U", "S,*,U"
">Study Instance UID", "0002000D", "UNIQUE", "UNIQUE"
">Scheduled Procedure ID", "00400009", "S,*,U", "S,*,U"
"Institution Code Sequence", "00080082, "SEQUENCE", "SEQUENCE"
">Code Value", "00080100", "S,*,U", "S,*,U"
">Coding Scheme Designator", "00080102", "S,*,U", "S,*,U"
">Coding Scheme Version", "00080103", "S,*,U", "S,*,U"
"Sending Application Entity Title of Series", "", "S,*,U", ""
"Failed SOP Instance UID List", "00080058", "L", ""
"Laterality", "00200060", "", "NONE"
"Manufacturer", "00080070", "", "NONE"
"Manufacturer Model Name", "00081090, "", "NONE"
"Referenced Performed Procedure Step Sequence", "00081111, "", "NONE"
"Specific Character Set", "00080005", "", "NONE"
"Retrieve URL", "00081190", "", "NONE"
"Retrieve AE Title", "00080054", "", "NONE"
"Instance Availability", "00080056", "", "NONE"
"Number of Series Related Instances", "00201209", "", "NONE"