"Specific Character Set", "(0008,0005)", "CS", "'ISO_IR 100' or 'ISO_IR 144'", ""
"Modality", "(0008,0060)", "CS", "RF", ""
"Referenced Patient Sequence", "(0008,1120)", "SQ", "Zero Length", ""
"Patient's Name", "(0010,0010)", "PN", "From Modality Worklist or user input (all 5 components). The user can modify values provided via Modality Worklist.", ""
"Patient's ID", "(0010,0020)", "LO", "From Modality Worklist or user input. The user can modify values provided via Modality Worklist.", ""
"Patient's Birth Date", "(0010,0030)", "DA", "From Modality Worklist or user input. The user can modify values provided via Modality Worklist.", ""
"Patient's Sex", "(0010,0040)", "CS", "From Modality Worklist or user input. The user can modify values provided via Modality Worklist.", ""
"Distance Source to Detector (SID)", "(0018,1110)", "DS", "Zero Length", "x"
"Image Area Dose Product", "(0018,115E)", "DS", "Zero Length", "x"
"Study ID", "(0020,0010)", "SH", "From Modality Worklist or user input. The user can modify values provided via Modality Worklist.", ""
"Performed Station AE Title", "(0040,0241)", "AE", "MPPS AE Title", ""
"Performed Station Name", "(0040,0242)", "SH", "From configuration", ""
"Performed Location", "(0040,0243)", "SH", "From configuration", ""
"Performed Procedure Step Date", "(0040,0244)", "DA", "Actual Start Date", ""
"Performed Procedure Step Time", "(0040,0245)", "TM", "Actual Start Time", ""
"Performed Procedure Step End Date", "(0040,0250)", "DA", "Zero Length", "Actual end date"
"Performed Procedure Step End Time", "(0040,0251)", "TM", "Zero Length", "Actual end time"
"Performed Procedure Step Status", "(0040,0252)", "CS", "IN PROGRESS", "DISCONTINUED or COMPLETED"
"Performed Procedure Step Discontinuation Reason Code Sequence", "(0040,0281)", "SQ", "Zero Length", "If Performed Procedure Step Status (0040,0252) is 'DISCONTINUED' then a single item will be present containing a user-selected entry drawn from CID 9300 'Procedure Discontinuation Reasons'."
"Performed Procedure Step ID", "(0040,0253)", "SH", "Automatically created but can be modified by the user."
"Performed Procedure Step Description", "(0040,0254)", "LO", "From Modality Worklist or user input. The user can modify the description provided via Modality Worklist."
"Performed Procedure Type Description", "(0040,0255)", "LO", "Zero length", ""
"Performed Protocol Code Sequence", "(0040,0260)", "SQ", "Zero length", "Zero or more items"
"Scheduled Step Attributes Sequence", "(0040,0270)", "SQ", "If 1st dose applied results in an Instance", ""
"> Accession Number", "(0008,0050)", "SH", "From Modality Worklist or user input. The user can modify values provided via Modality Worklist.", ""
"> Referenced Study Sequence", "(0008,1110)", "SQ", "From Modality Worklist", ""
">> Referenced SOP Class UID", "(0008,1150)", "UI", "From Modality Worklist", ""
">> Referenced SOP Instance UID", "(0008,1155)", "UI", "From Modality Worklist", ""
"> Study Instance UID", "(0020,000D)", "UI", "From Modality Worklist", ""
"> Requested Procedure Description", "(0032,1060)", "LO", "From Modality Worklist", ""
"> Scheduled Procedure Step Description", "(0040,0007)", "LO", "From Modality Worklist", ""
"> Scheduled Protocol Code Sequence", "(0040,0008)", "SQ", "From Modality Worklist", ""
"> Scheduled Procedure Step ID", "(0040,0009)", "SH", "From Modality Worklist", ""
"> Requested Procedure ID", "(0040,1001)", "SH", "From Modality Worklist", ""
"Performed Series Sequence", "(0040,0340)", "SQ", "if 1st dose applied results in an instance", "One or more items"
"> Retrieve AE Title", "(0008,0054)", "AE", "x", "x"
"> Series Description", "(0008,103E)", "LO", "x", "x"
"> Performing Physician's Name", "(0008,1050)", "PN", "x", "x"
"> Operator's Name", "(0008,1070)", "PN", "x", "x"
"> Referenced Image Sequence", "(0040,1140)", "SQ", "One or more items", "One or more items"
">> Referenced SOP Class UID", "(0008,1150)", "UI", "x", "x"
">> Referenced SOP Instance UID", "(0008,1155)", "UI", "x", "x"
"> Protocol Name", "(0018,1030)", "LO", "x", "x"
"> Series Instance UID", "(0020,000E)", "UI", "x", "x"
"> Referenced Standalone SOP Instance Seq.", "(0040,0220)", "SQ", "Zero length (SOP classes not supported)", "Zero length (SOP classes not supported)"
"Total Time of Fluoroscopy", "(0040,0300)", "US", "Zero length", "Total time"
"Total Number of Exposures", "(0040,0301)", "US", "Zero length", "Number of Exposures"
"Entrance Dose", "(0040,0302)", "US", "Zero length", "Entrance Dose"
"Exposed Area", "(0040,0303)", "US", "Zero length", "Exposed Area"
"Film Consumption Sequence", "(0040,0321)", "SQ", "Zero length", "Zero or more items"
"> Medium Type", "(2000,0030)", "CS", "", "x"
"> Film Size ID", "(2010,0050)", "CS", "", "x"
"> Number of Films", "(2100,0170)", "IS", "", "x"